French,English
mieux,better
le mieux,(the) best
poser,"(to) put, ask | putting, asking"
jouer (à/de + noun),(to) play (+ noun) | playing (+ noun)
mot,word
reconnaître,(to) recognise | recognising
situation,situation
offrir à …,"(to) give someone, offer someone | giving someone, offering someone"
près,"nearby, close by, near"
choisir,(to) choose | choosing
national,national (m)
projet,plan
puis,"then, so"
toucher,(to) touch | touching
train,train
aujourd’hui,today
comment ?,how?
surtout,"especially, above all"
gens,people
propre,"clean, proper, own (m, f)"
idée,idea
selon,according to
région,"region, area"
aimer,"(to) like, love | liking, loving"
sens,"sense, meaning"
semaine,week
également,"also, too, as well, equally"
façon,"way, manner"
nombre,number
perdre; se perdre,(to) lose | losing; (to) get lost | getting lost
français,French (m)
expliquer,(to) explain | explaining
quatre,four
quatre,four
compte,"account, count"
ouvrir,(to) open | opening
gagner,"(to) win, earn, gain | winning, earning, gaining"
exemple,example
ville,town
économique,"economic (m, f)"
histoire,"history, story"
haut,high (m)
ensuite,next
guerre,war
loi,law
président,president (m)
exister,(to) exist | existing
sûr,"safe, sure (m)"
refuser (de + infinitive),(to) refuse (+ verb) | refusing (+ verb)
plutôt,rather
bureau,"desk, office"
mauvais,"bad, wrong (m)"
mort*,dead (m)
mort**,death
mal*,badly
mal**,"bad (m, f)"
mal***,ache
lire,(to) read | reading
(aux) lu,"read | (have, has) read"
réussir (à + infinitive) (à + noun),"(to) succeed (in + verb), pass (an exam) | succeeding (in + verb), passing (an exam)"
marché,market
condition,condition
international,international (m)
changer; se changer,(to) change | changing; (to) get changed | getting changed
oui,yes
public*,public (m)
public**,"public, audience"
humain,human
souvent,often
cinq,five
système,system
travailler,(to) work | working
jeu,game
vrai,true (m)
représenter,(to) represent | representing
madame,"Mrs, Ms, (sing), madam, lady"
société,society
difficile,"difficult (m, f)"
quoi ?,what?
entreprise,company
social,social (m)
essayer (de + infinitive),"(to) try (+ verb), attempt (+verb) | trying (+ verb), attempting (+ verb)"
juste,"right, true, correct, fair (m, f)"
étranger*,foreign (m)
étranger**,"foreigner, stranger, abroad"
empêcher (… de + infinitive),(to) prevent (someone from + verb) | preventing (someone from + verb)
million,million
manière,"manner, way"
sortir,"(to) go out, exit, take out, release | going out, exiting, taking out, releasing"
prix,"price, prize"
longtemps,"a long time, a long while"
courant,"current, common (m)"
intérêt,interest
mener,(to) lead | leading
information,information
détail,detail
appartenir,(to) belong | belonging
liberté,"liberty, freedom"
assez,quite
risquer (de + infinitive),(to) risk (+ verb) | risking (+ verb)
chacun,each person
concerner,"(to) affect, concern, relate to | affecting, concerning, relating to"
maison,"house, home"
d’abord,"first of all, firstly, to start with"
apprendre; apprendre à …,(to) learn | learning; (to) teach someone | teaching someone
niveau,level
rencontrer,"(to) meet, run into | meeting, running into"
ton,"your (sing informal) (m, f before a vowel or h)"
ta,your (sing informal) (f)
tes,your (sing informal) (pl)
créer,(to) create | creating
état,state
obtenir,"(to) get, obtain │ getting, obtaining"
clair,clear (m)
chercher,(to) look for | looking for
entrer,"(to) enter, go in, come in │ entering, going in, coming in"
proposer; proposer de  + infinitive,"(to) propose, offer | proposing, offering; (to) suggest + verb | suggesting + verb"
apporter,(to) bring (something) | bringing (something)
programme,schedule
loin,far
ligne,line
tête,head
libre,free (m)
utiliser,(to) use | using
tard,late (something)
enfin,finally
différent,different (m)
sorte,"sort, kind"
cependant,however
sujet,"subject, topic"
action,action
relation,relationship
recherche,"research, search"
livre,"book, pound"
ajouter,(to) add | adding
ailleurs,"elsewhere, somewhere else"
vraiment,"truly, really, very"
doute,doubt
reste,rest
début,beginning
nombreux,"many, numerous, plentiful (m)"
produire,"(to) produce, make | producing, making"
préparer; se préparer,(to) prepare | preparing; (to) get ready | getting ready
forme,"form, shape"
décision,decision
rôle,role
dix,ten
produit,product
américain,American (m)
minute,minute
prochain,next (m)
écrire,(to) write | writing
position,position
développement,development
défendre,"(to) defend, stand up for, forbid | defending, standing up for, forbidding"
chef,"boss, cook (m)"
cheffe,"boss, cook (f)"
économie,economy
effort,effort
parmi,among
membre,member
ancien,"former, ancient (m)"
beau/bel,beautiful (m)
belle,beautiful (f)
beaux,"beautiful (mpl, mixed gender pl)"
plein,full (m)
éviter (de + infinitive),(to) avoid (+ verb) | avoiding (+ verb)
soir,evening
titre,title
objet,"object, subject line"
unique,"unique (m, f)"
souhaiter,(to) wish | wishing
malgré,"despite, in spite of"
réaliser,"(to) realise, achieve | realising, achieving"
parfois,sometimes
sérieux,"conscientious, responsible (m)"
aider (… à + infinitive),(to) help (someone + verb) | helping (someone + verb)
voix,voice
terminer (de + infinitive),"(to) finish (+ verb), end | finishing (+ verb), ending"
espérer,(to) hope (for) | hoping (for)
main,hand
arrêter (de + infinitive),(to) stop (+ verb) | stopping (+ verb)
retour,return
prêt,ready (m)
occasion,"chance, opportunity"
regarder,"(to) watch, look at | watching, looking at"
plupart (de),"most, the majority (of)"
résultat,"result, follow-up"
écouter,(to) listen to | listening to
terre,"earth, world, soil, land"
confiance,"confidence, trust"
choix,choice
chance,luck
notamment,notably
type,"type, guy"
but,"goal, aim, objective, purpose"
matin,morning
grave,"serious, grave (m, f)"
Européen,European
étude,study
remplacer (par + noun),(to) replace (with + noun) | replacing (with + noun)
six,six
nécessaire,"necessary, required (m, f)"
activité,activity
entier,"whole, full (m)"
réponse,"reply, response, answer"
aide,help
principal,main (m)
pourtant,"yet, nonetheless, nevertheless"
époque,"era, period, time"
exprimer,(to) express | expressing
ami,friend (m)
moitié,half
avenir,future
argent,money
œil,eye
yeux,eyes
eau,water
sauf,except
école,school
sécurité,"security, safety"
milieu,middle
lettre,letter
presque,"almost, nearly"
attention*,attention
attention !**,watch out!
futur,future
conduire,(to) drive | driving
règle,"rule, ruler"
poste,post office
demande,"request, demand"
centre,centre
disparaître,(to) disappear | disappearing
accord,agreement
obliger,"(to) require, force, oblige | requiring, forcing, obliging"
passé,past
âge,age
déclarer,"(to) announce, report | announcing, reporting"
oublier (de + infinitive),(to) forget (+ verb) | forgetting (+ verb)
troisième,year 10
quitter; se quitter,"(to) leave somewhere, take off | leaving somewhere, taking off; (to) leave each other | leaving each other"
population,population
(à) toi,to you (sing informal) (emph)
responsable,"responsible (m, f)"
route,road
tôt,early
lancer,"(to) throw, launch | throwing, launching"
limite,limit
emploi,job
objectif,"objective, aim, goal"
journal,newspaper
journaux,newspapers
annoncer,"(to) announce, make public | announcing, making public"
lui-même,himself
tour,"turn, tour, tower"
voilà,"right, there, here"
volonté,will
envoyer,(to) send | sending
partager,(to) share | sharing
puisque,"as, because"
changement,change
garder,"(to) keep, take care of, look after | keeping, taking care of, looking after"
réalité,reality
interdire (à ...),"(to) forbid, ban (from someone) | forbidding, banning (from someone)"
finir (de + infinitive),"(to) end, finish | ending, finishing; (to) finish (+ verb) | finishing (+ verb)"
placer; se placer,"(to) put, place | putting, placing; (to) position yourself | positioning yourself"
sentir; se sentir,(to) smell | smelling; (to) feel | feeling
payer,(to) pay (for) | paying (for)
esprit,"mind, spirit"
diriger; se diriger,"(to) direct, guide | directing, guiding; (to) make one's way | making one's way"
noter,"(to) mark, write down, notice | marking, writing down, noticing"
nature,nature
régime,diet
court*,short (m)
parent,parent
tomber,(to) fall | falling
départ,departure
mondial,"worldwide, global (m)"
paroles,lyrics
publique,public (f)
faux,false (m)
fausse,false (f)
genre,"type, kind, sort"
communauté,community
intéresser + s/o inversion; s'intéresser (à + noun),(to) find interesting | finding interesting; (to) be interested (in + noun) | being interested (in + noun)
c’est-à-dire,"in other words, that is to say"
corps,body
matière,subject
difficulté,difficulty
appel,call
cœur,heart
père,father
organisation,organisation
noir,black (m)
événement,event
conseil,"advice, counsel, council"
soutenir,(to) support | supporting
paix,peace
nuit,night
partout,everywhere
direction,"direction, management"
manquer; manquer à + s/o inversion,"(to) fail to catch, be missing, miss | failing to catch, being missing, missing; (to) miss | missing"
actuel,current (m)
signifier,(to) mean | meaning
journée,day
indiquer,"(to) indicate, show | indicating, showing"
tuer,(to) kill | killing
technique,"technical  (m, f)"
rapidement,"quickly, rapidly"
autour,around
réduire,(to) reduce | reducing
préférer,(to) prefer | preferring
préféré,favourite (m)
rue,street
riche,"rich (m, f)"
violence,violence
siècle,century
article,"article, item"
durer,(to) last | lasting
qualité,quality
gauche,"left (m, f)"
solution,solution
voie,"street, route, way"
capable,"able, capable (m, f)"
canadien,Canadian (m)
erreur,"mistake, error"
livrer,(to) deliver | delivering
simplement,simply
se souvenir (de + noun),(to) remember (+ noun) | remembering (+ noun)
conséquence,consequence
contraire,"opposite, contrary"
succès,success
local,local (m)
été,summer
inviter,(to) invite | inviting
pied,foot
débat,debate
fille,"girl, daughter"
répéter,(to) repeat | repeating
texte,text
profiter de + noun,"(to) make the most of + noun, enjoy + noun | making the most of + noun, enjoying + noun"
chambre,bedroom
acheter,(to) buy | buying
production,production
directeur,"head teacher, manager (m)"
santé,health
souffrir,(to) suffer | suffering
précis,"precise, accurate (m)"
mère,mother
risque,risk
arme,"weapon, arms"
endroit,"place, spot"
impossible,"impossible (m, f)"
amener,(to) bring (someone) | bringing (someone)
image,"picture, image"
date,date
contrôle,"test, check, inspection"
énorme,"enormous (m, f)"
réel,"real (m, f)"
campagne,countryside
(aux) né,"was born | (have, has) been born"
tourner,"(to) turn, go round | turning, going round"
participer à + noun,"(to) take part in + noun, participate in + noun | taking part in + noun, participating in + noun"
vieux/vieil,old (m)
vieille,old (f)
rapide,"fast, quick (m, f)"
respecter,(to) respect | respecting
essentiel,essential (m)
environ,"about, thereabouts, or so"
expérience,experience
admettre,"(to) admit, confess | admitting, confessing"
découvrir,(to) discover | discovering
assister; assister à + noun,(to) assist | assisting; (to) attend + noun | attending + noun
frais,fresh (m)
fraîche,fresh (f)
industrie,industry
responsabilité,responsibility
réserver,"(to) reserve, book, keep │ reserving, booking, keeping"
porte,door
victime,victim
pauvre,"poor (m, f)"
taux,rate
organiser; s'organiser,(to) organise | organising; (to) get organised | getting organised
cent,one hundred
prononcer,(to) pronounce | pronouncing
blanc,white (m)
blanche,white (f)
origine,"origin, source"
vendre,(to) sell | selling
vite,"quickly, fast"
langue,"language, tongue"
dangereux,dangerous (m)
importance,importance
espoir,hope
énergie,energy
réseau,network
mourir,(to) die | dying
(aux) mort,"died | (have, has) died"
faible,"weak (m, f)"
employer,"(to) use, employ | using, employing"
possibilité,possibility
spécial,special (m)
accompagner,(to) accompany | accompanying
actuellement,"at present, at the moment"
ceci,this
fils,son
d’accord,"okay, alright"
discuter (de + noun),"(to) discuss, talk about (+ noun) | discussing, talking about (+ noun)"
différence,difference
protéger,(to) protect | protecting
abandonner,"(to) give up, abandon | giving up, abandoning"
avis,"opinion, mind"
battre; se battre,"(to) beat, hit | beating, hitting; (to) fight, fighting"
pire*(s),"worse, worst (m, f) (pl)"
pire**,"worse, less well"
le pire*/la pire/les pires,the worst (m/f/pl)
le pire**,"the worst, the least well"
chiffre,"figure, number"
remplir,"(to) fill (up), (in) | filling (up), (in)"
divers,"varied, diverse (m)"
frapper,"(to) hit, knock | hitting, knocking"
peur,fear
parlement,parliament
fermer,"(to) close, shut | closing, shutting "
lutte,"struggle, fight, conflict"
naturel,natural (m)
air,"air, appearance"
auteur,author
heureux,happy (m)
crise,crisis
numéro,number
instant,"instant, moment"
quelqu’un,"somebody, someone"
banque,bank
reposer; se reposer,(to) put down | putting down; (to) rest | resting
opinion,opinion
classe,class
particulièrement,particularly
commun,"common (m, f)"
intention,intention
anglais,English (m)
échange,exchange
feu,fire
neuf,nine
dépendre de,"(to) depend on + noun, depending on + noun"
message,message
construire,"(to) build, construct | building, constructing"
scène,"stage, scene"
secret,secret (m)
secrète,secret (f)
plaisir,pleasure
combien ?,"how many?, how much?"
nul,rubbish (m)
nulle,rubbish (f)
absence,absence
cher,expensive (m)
derrière,behind
connaissance,"knowledge, acquaintance"
immédiatement,immediately
entrée,"entrance, starter"
couper,(to) cut | cutting
salle,room
pièce,"piece, room, play"
équipe,team
situer; se situer,"(to) place, put, situate | placing, putting, situating; (to) be situated, take place | being situated, taking place"
souligner,"(to) underline, stress | underlining, stressing"
respect,respect
crime,crime
facile,"easy (m, f)"
augmenter; s'augmenter,"(to) increase, raise | increasing, raising; (to) grow, expand | growing, expanding"
octobre,October
médecin,"doctor (m, f)"
police,police
coût,cost
formation,training
normal,normal (m)
attitude,attitude
faute,"mistake, error, fault"
série,series
lever; se lever,"(to) lift, raise | lifting, raising; (to) get up, stand up, rise (sun) | getting up, standing up, rising (sun)"
proche,"nearby, close"
direct,direct (m)
imaginer,"(to) invent, imagine | inventing, imagining"
pratique,"practical (m, f)"
finalement,"finally, eventually"
allemand,German (m)
champ,"field, realm"
film,film
ressource,resource
monter; monter (à + noun),(to) go up | going up; (to) climb (up + noun) | climbing (up + noun)
promettre (à …) (de + infinitive),(to) promise (someone) (+ verb) | promising (someone) (+ verb)
concentrer,(to) concentrate | concentrating
exactement,exactly
chemin,"way, path"
province,province
élection,election
conflit,conflict
enquête,"survey, investigation"
terrain,"ground, terrain"
mars,March
tellement,so much
espace,space
demain; à demain !,tomorrow; see you tomorrow!
hier,yesterday
remarquer,"(to) remark, notice | remarking, noticing"
huit,eight
lien,"link, bond"
